Romanian,English
fi,be
spune,say
face,do what
vedea,see
părea,look
găsi,find
auzi,hear
ști,know
veni,come
crede,believe
trebui,BE
aduce,bring
juca,play
râde,laugh
începe,you start
ține,KEEP
vorbi,TALK
simți,feel
crește,grow
dori,like
aminti,to lie
învăța,learn
mișca,move
ține,KEEP
arăta,to miss
căuta,search for
sosi,arrive
cumpăra,buy
lucra,work
încerca,try
întâlni,meet
crește,grow
cădea,fall
întoarce,turn
primi,receive
adăuga,add
răspunde,reply
ierta,forgive
atinge,touch
bea,drink
tăia,cut
vinde,sell
trăi,live
vinde,sell
uita,forget
spera,hope
trăi,live
dormi,are you sleeping
întoarce,turn
uita,forget
învăța,learn
explica,explain
uita,forget
mânca,eat
gândi,think
înțelege,understand
alege,choose
crește,grow
râde,laugh
lucra,work
începe,you start
primi,receive
deschide,open
vorbi,talk
dormi,are you sleeping
suna,sounds
juca,play
lucra,work
părea,look
găsi,find
gândi,think
înțelege,understand
învăța,learn
întâlni,meet
uita,forget
vorbi,talk
râde,laugh
cânta,sing
crede,believe
cumpăra,buy
găsi,find
aduce,bring
întreba,ask
căuta,search for
vinde,sell
sta,stay
desena,draw
crește,grow
suna,sounds
explica,explain
crea,create
dori,like
gândi,think
pleca,leave
crede,believe
vedea,see
gândi,think
lucra,work
crește,grow
aștepta,wait
întoarce,turn
crea,create
părea,look
scrie,write
crea,create
înțelege,understand
dormi,are you sleeping
vinde,sell
câștiga,win
trăi,live
întreba,ask
suna,sounds
iubi,love
alege,choose
simți,feel
pierde,lose
ajunge,that's enough
crește,grow
pleca,leave
râde,laugh
merge,go
aștepta,wait
crea,create
descoperi,discover
pune,put
închide,hang up
începe,you start
atinge,touch
vedea,see
jos,down
nu-mi,I
